indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Desi Cow Ghee,Dairy Fats,Dairy Fat,0.18,99.57,6.39,0.25,0,350,39.4,61.8,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,Rigid: 300µm Biosynthesized Nodax™ PHA with UV-Absorbing Curcumin Additives,314,1,1.23,Induction Heat Seal Wad (FSC Paper / Bio-PBS) + Screw Cap,High Hydraulic Burst & Lipid Resistance,Yes,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),"Cl. 5(1) & Schedule I (Ghee, Butter Oil & Edible Oils)","IS/ISO 17088, IS 9845, IS 15392",Simulant D (Iso-octane / Olive Oil); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / Bio-Flex® Resin,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,10.59,1.47,6.39,0.52,0,236,20.5,68,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,68,119.9,5.28,Continuous Band Heat Seal (110-125°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.74,34.49,5.91,0.22,0,131,38.7,51.5,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,65,1.3,0.52,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.95,12.76,6.12,0.25,0,130,29.4,48.3,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,60,25.5,1.52,Hermetic Vacuum Strip Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Ground Turmeric (Haldi Powder),Spices & Condiments,F005,9.13,4.42,6.17,0.45,0,287,37.4,56.1,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,Triplex: 45gsm Bleached Kraft / 19µm Met-PLA (Light & Aroma Barrier) / 30µm Bio-PBS Sealant,75,1.5,0.61,Heat Seal with Resealable Bio-Zipper,Aroma-Lock High Puncture Resistance,No,Ambient Air / N2 Flush,Cl. 5(2) (Spices & Condiments) - Protection from volatile oil loss & UV,"IS 10619, IS/ISO 17088, IS 9845",Zero light transmission below 450nm; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage Paper + BioPBS™ + NatureFlex™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Freshwater Fish (Rohu Steaks),Fish & Seafood,J001,76.28,2.97,6.55,0.99,0,12,0.5,92.6,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled (On Crushed Ice),Waterproof Molded Sugarcane Bagasse Tray + Compostable High-Barrier Lidding Film,Base: 500gsm Hydrophobic Wax-coated Bagasse / Top: 30µm PVOH-coated NatureFlex Film,98,1.6,2.18,Hermetic Tray Lidding Seal (Leak-Proof for Fish Exudate),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"40-50% CO2, balance N2 (anoxic to suppress Pseudomonas and TVB-N)",Schedule I (Fish & Fishery Products) & Cl. 3(2),"IS/ISO 17088, IS 9845 (OML <60 mg/kg)",Simulant A & C; Zero styrene / formaldehyde leaching,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka Chuk! Water-resistant Trays + NatureFlex™ NKME,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.17,21.42,6.32,0.68,0,34,32.9,47.1,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,34,73.8,5.14,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,8.89,12.59,5.8,0.46,0,195,23.9,60.5,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,76,1.3,0.76,Hermetic Band Heat Seal,Puncture & Capsaicin Permeation Proof,No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,Mango Mustard Oil Matrix,48.46,21.93,3.31,0.78,0,309,26.8,59.3,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High Acid & Oil Resistant Biodegradable Spouted Pouch (AlOx-PLA / Bio-PBS),Triplex: 15µm AlOx-PLA / 20µm Bio-PBS / 60µm Acid-Resistant Bio-copolymer Sealant,120,0.8,0.98,Ultrasonic Spout Weld + Hermetic Heat Seal,Corrosion & High Hydrostatic Oil Resistance,No,Mustard Oil Seal Layer Headspace Exclusion,"Cl. 4(3) No corrosion / metal leaching in high acid & salt products (pH <3.5, Salt >12%)","IS/ISO 17088, IS 9845 (Simulant B & D)",Simulant B (3% Acetic Acid) & Simulant D; Zero delamination,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Heavy-Duty Barrier Laminate / BioPBS™ Acid-Shield,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,31.39,26.01,6.21,0.88,0,15,4.1,82,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,80,2.6,2.76,Vacuum Chamber Heat Seal,Medium High,Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.41,1.71,6.23,0.58,0,120,35.5,64.1,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,106,241.5,6.47,Heat Sealable Bottom / Pinch Top Bio-Adhesive,High Drop Impact (>1.5m drop test for 5kg/10kg bags),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,31.46,25.28,6.22,0.88,0,17,2.6,86,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,78,4.2,2.44,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Green Chillies (Hari Mirch),Fresh Horticultural Produce,E006,85.85,0.63,5.38,0.98,47.1,20,9.1,90.5,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled,Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,Monolayer: 25µm Blown PBAT/PLA with Natural Bio-Wax Anti-Fog Additive,35,5583.9,39.14,Continuous Heat Seal with Gas Vents,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",Cl. 3(2) Clean Produce Packaging,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NVS,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.04,13,5.84,0.46,0,348,31.9,41.5,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,91,1.5,0.73,Hermetic Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Fresh Malai Paneer,Dairy Products,B005,54.25,24.8,5.9,0.98,0,18,2.6,91.3,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,High-Barrier Certified Compostable Vacuum Film (Cellulose/AlOx-PLA/Bio-PBS),Triplex: 25µm NatureFlex Cellulose / 15µm AlOx Bio-barrier / 40µm Bio-PBS Food-Contact Sealant,87,3.3,1.76,Hermetic Vacuum Chamber Heat Seal (95-115°C),Puncture Resistant to Whey & Acid,Yes,"40% CO2, 60% N2 (suppresses coliforms, yeasts & molds)",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845, IS 16620",Simulant B (3% Acetic Acid) & Simulant C (15% Alcohol); OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ FD92 (PTT MCC) / TIPA 302 Compostable Laminate,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,10.9,21.86,6.27,0.68,0,45,23.8,64.6,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,35,86.6,4.79,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.62,1.81,6.29,0.58,0,113,31.2,77.5,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,93,198.1,5.47,Heat Sealable Bottom / Pinch Top Bio-Adhesive,High Drop Impact (>1.5m drop test for 5kg/10kg bags),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.07,13.07,5.79,0.46,0,220,25.7,63.3,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,100,1.4,0.99,Hermetic Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,Mustard Oil,0.1,99.86,6.47,0.2,0,206,38.5,45.2,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,Rigid: 320µm Dark Amber Biosynthesized Nodax™ PHA with UV Blockers,339,1.1,0.83,Induction Heat Seal Liner (Bio-PBS Wad) + Threaded Cap,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Nitrogen Headspace Sparging (residual O2 < 0.5%),Cl. 5(1) & Schedule I (Edible Vegetable Oils & Fats),"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; Total Migration < 60 mg/kg; Zero erucic acid solvent interaction,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Desi Cow Ghee,Dairy Fats,Dairy Fat,0.18,99.47,6.4,0.25,0,187,38.9,54.6,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,Rigid: 300µm Biosynthesized Nodax™ PHA with UV-Absorbing Curcumin Additives,335,2,1.07,Induction Heat Seal Wad (FSC Paper / Bio-PBS) + Screw Cap,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),"Cl. 5(1) & Schedule I (Ghee, Butter Oil & Edible Oils)","IS/ISO 17088, IS 9845, IS 15392",Simulant D (Iso-octane / Olive Oil); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / Bio-Flex® Resin,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Besan Ladoo,Traditional Sweets (Mithai),Bengal Gram Sweet,4.93,24.66,6.23,0.42,0,103,24.3,45,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,Duplex: 50gsm FSC Greaseproof Kraft / 20µm Sealable NatureFlex Bio-film,71,23.4,2.05,Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Nitrogen Flush (residual O2 < 1.0%),FSSAI Mandatory Mithai Display & Cl. 4(5),"IS 6615, IS/ISO 17088",Simulant D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NK,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Green Chillies (Hari Mirch),Fresh Horticultural Produce,E006,85.57,0.61,5.4,0.98,45.3,20,8.7,94.3,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,Monolayer: 25µm Blown PBAT/PLA with Natural Bio-Wax Anti-Fog Additive,36,6070.4,34.15,Continuous Heat Seal with Gas Vents,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",Cl. 3(2) Clean Produce Packaging,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NVS,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.35,0.51,5.17,0.35,0,215,32.8,60.4,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,88,0.5,0.66,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,29.98,26.01,6.21,0.88,0,29,3.3,81.8,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,84,5,2.1,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),Milk Solid Sweet,38.73,11.77,5.75,0.85,0,239,30.6,57.8,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),Retort Grade: 19µm AlOx-PLA / 15µm Bio-PBS / 60µm High-Temp Cast PLA Sealant,91,1.1,1.12,Hermetic Impulse Heat Seal (Liquid Tight),High Hydrostatic Pressure & Burst Resistant (>180 kPa),No,Hot Fill De-aeration / Syrup Headspace Exclusion,Schedule I (Canned & Preserved Foods) & Tin Leaching Ban (<250 mg/kg),"IS/ISO 17088, IS 9845 (Simulant A)",Simulant A (Distilled water at 95°C hot fill); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Retortable Compostable / BioPBS™ High Thermal Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.06,12.27,5.81,0.46,0,247,32.5,41.1,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,91,1,0.88,Hermetic Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.37,22.04,6.28,0.68,0,21,25.1,46.8,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,23,63.8,3.64,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Crush Resistant Rigid Box (IS 2771),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,10.5,1.41,6.38,0.52,0,200,34.2,54.4,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,58,90.4,4.34,Continuous Band Heat Seal (110-125°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),Chhana Sweet,51.63,4.36,6.08,0.92,0,119,20.3,51.4,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,Triplex: 15µm AlOx-PLA / 25µm Bio-PBS / 50µm Sealant,118,1.5,1.26,Hermetic Ultrasonic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Syrup Exclusion,Schedule I (Canned Foods),"IS/ISO 17088, IS 9845",Simulant A; OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ + AlOx Barrier Film,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
